# frequency (Hz), effective injected noise temperature at LNA (K)
6.652000000000000000e+09,4.074891552844761122e+00
6.653000000000000000e+09,4.100626518899929351e+00
6.654000000000000000e+09,4.282192023503185396e+00
6.655000000000000000e+09,4.280171818818885754e+00
6.656000000000000000e+09,4.364087053893896950e+00
6.657000000000000000e+09,4.446824052698374885e+00
6.658000000000000000e+09,4.339613830976233544e+00
6.659000000000000000e+09,4.396186308217892247e+00
6.660000000000000000e+09,4.456794326267129236e+00
6.661000000000000000e+09,4.351386356390577248e+00
6.662000000000000000e+09,4.301236330175939315e+00
6.663000000000000000e+09,4.263875986201341561e+00
6.664000000000000000e+09,4.311713097676786788e+00
6.665000000000000000e+09,4.316063271756576114e+00
6.666000000000000000e+09,4.430856085498277253e+00
6.667000000000000000e+09,4.485258997756318422e+00
6.668000000000000000e+09,4.479294294144921196e+00
6.669000000000000000e+09,4.343059220967120382e+00
6.670000000000000000e+09,4.360504385078769474e+00
6.671000000000000000e+09,4.430691191148042662e+00
6.672000000000000000e+09,4.411021454566252942e+00
6.673000000000000000e+09,4.625733553762728434e+00
6.674000000000000000e+09,4.570300476009194313e+00
6.675000000000000000e+09,4.580787518437631434e+00
6.676000000000000000e+09,4.540786599174694516e+00
6.677000000000000000e+09,4.569334691308313268e+00
6.678000000000000000e+09,4.606698423713723400e+00
6.679000000000000000e+09,4.586306790219737195e+00
6.680000000000000000e+09,4.629243198303996110e+00
6.681000000000000000e+09,4.713567035652232562e+00
6.682000000000000000e+09,4.660936527856762268e+00
6.683000000000000000e+09,4.681691722917520337e+00
6.684000000000000000e+09,4.683953783433324247e+00
6.685000000000000000e+09,4.731499549504334823e+00
6.686000000000000000e+09,4.473935178858127415e+00
6.687000000000000000e+09,4.405320751925486888e+00
6.688000000000000000e+09,4.422089292235540370e+00
6.689000000000000000e+09,4.470923830067675908e+00
6.690000000000000000e+09,4.505621340681159381e+00
6.691000000000000000e+09,4.565942840672676084e+00
6.692000000000000000e+09,4.502029274816464977e+00
6.693000000000000000e+09,4.589635788723470000e+00
6.694000000000000000e+09,4.615064144286051828e+00
6.695000000000000000e+09,4.459807443067617783e+00
6.696000000000000000e+09,4.538845014000827405e+00
6.697000000000000000e+09,4.511504378184554298e+00
6.698000000000000000e+09,4.549979927645836142e+00
6.699000000000000000e+09,4.538812131155367524e+00
6.700000000000000000e+09,4.386159692351398576e+00
6.701000000000000000e+09,4.369341861925292392e+00
6.702000000000000000e+09,4.396980599950467195e+00
6.703000000000000000e+09,4.410361005578408822e+00
6.704000000000000000e+09,4.389794067957197399e+00
6.705000000000000000e+09,4.308165223873402283e+00
6.706000000000000000e+09,4.295301981515692091e+00
6.707000000000000000e+09,4.294550524762087207e+00
6.708000000000000000e+09,4.127009513559727338e+00
6.709000000000000000e+09,4.141382608804420329e+00
6.710000000000000000e+09,4.343851683742059322e+00
6.711000000000000000e+09,4.235259250575595047e+00
6.712000000000000000e+09,4.107839362538143746e+00
6.713000000000000000e+09,4.057668483117254254e+00
6.714000000000000000e+09,3.991602375571090988e+00
6.715000000000000000e+09,3.949215326632966594e+00
6.716000000000000000e+09,4.040417250018876416e+00
6.717000000000000000e+09,4.104348301744181526e+00
6.718000000000000000e+09,4.187794131040462275e+00
